sec_key,year,otter_density,pot,pot_catch
BLAQ.17,2017,2.96875,minnow.1,0
CHUS.17,2017,3.433333334,minnow.1,0
DUNB.17,2017,0.090909091,minnow.1,0
FARA.17,2017,0,minnow.1,0
GARC.17,2017,1.466666667,minnow.1,0
GOAT.17,2017,0,minnow.1,0
GUKT.17,2017,7.4,minnow.1,1
HETA.17,2017,0,minnow.1,0
KAGK.17,2017,6.0625,minnow.1,0
NATZ.17,2017,0,minnow.1,0
NAUK.17,2017,2.038461539,minnow.1,0
NFEI.17,2017,0.6875,minnow.1,0
NOSK.17,2017,6.142857143,minnow.1,0
NPAS.17,2017,0,minnow.1,0
REFU.17,2017,0.083333334,minnow.1,7
SALA.17,2017,7.05,minnow.1,0
SFEI.17,2017,1.053571429,minnow.1,0
SHIN.17,2017,3.692307692,minnow.1,0
SODA.17,2017,1.115384615,minnow.1,0
SWAD.17,2017,0.452380953,minnow.1,0
TROC.17,2017,0.041666667,minnow.1,1
GUKT.18,2018,10.68427371,minnow.1,0
KAGK.18,2018,10.67457376,minnow.1,0
NATZ.18,2018,0,minnow.1,0
NOSK.18,2018,3.436157751,minnow.1,0
NPAS.18,2018,0,minnow.1,0
SUKK.18,2018,0.036029544,minnow.1,0
BAKE.19,2019,3.989592368,minnow.1,0
BLAQ.19,2019,1.066552901,minnow.1,1
CHUS.19,2019,5.971173644,minnow.1,0
DUNB.19,2019,0.169539418,minnow.1,20
FARA.19,2019,0.066889632,minnow.1,0
GARC.19,2019,1.866404715,minnow.1,0
GOAT.19,2019,0.363416111,minnow.1,1
GUKT.19,2019,19.48162917,minnow.1,0
HECA.19,2019,4.87804878,minnow.1,0
KAGK.19,2019,26.8401487,minnow.1,15
KLWA.19,2019,0.225580871,minnow.1,0
NATZ.19,2019,0,minnow.1,44
NAUK.19,2019,3.32047627,minnow.1,0
NFEI.19,2019,0.750577367,minnow.1,0
NOSK.19,2019,2.882742501,minnow.1,20
NPAS.19,2019,0,minnow.1,21
REFU.19,2019,0.099206349,minnow.1,0
SALA.19,2019,5.894250217,minnow.1,2
SFEI.19,2019,1.159479251,minnow.1,0
SHIN.19,2019,6.467870643,minnow.1,28
SODA.19,2019,2.589134126,minnow.1,0
SWAD.19,2019,0.157109191,minnow.1,0
BLAQ.20,2020,2.402196294,minnow.1,0
CHUS.20,2020,10.96354903,minnow.1,2
DUNB.20,2020,0.066889632,minnow.1,0
FARA.20,2020,0.242277408,minnow.1,2
GARC.20,2020,6.237721022,minnow.1,0
GOAT.20,2020,0.056963828,minnow.1,2
GUKT.20,2020,25.70356473,minnow.1,2
HECA.20,2020,3.568773234,minnow.1,2
KAGK.20,2020,10.4669524,minnow.1,0
KLWA.20,2020,0,minnow.1,0
NATZ.20,2020,0,minnow.1,0
NAUK.20,2020,3.752886836,minnow.1,0
NFEI.20,2020,0.529500756,minnow.1,0
NOSK.20,2020,2.876984127,minnow.1,1
NPAS.20,2020,0,minnow.1,0
REFU.20,2020,0,minnow.1,0
SALA.20,2020,2.813943721,minnow.1,0
SFEI.20,2020,1.322525597,minnow.1,1
SHIN.20,2020,2.847843775,minnow.1,1
SODA.20,2020,2.854150301,minnow.1,2
SWAD.20,2020,0.339558574,minnow.1,0
BLAQ.17,2017,2.96875,minnow.2,0
CHUS.17,2017,3.433333334,minnow.2,0
DUNB.17,2017,0.090909091,minnow.2,0
FARA.17,2017,0,minnow.2,0
GARC.17,2017,1.466666667,minnow.2,0
GOAT.17,2017,0,minnow.2,0
GUKT.17,2017,7.4,minnow.2,0
HETA.17,2017,0,minnow.2,0
KAGK.17,2017,6.0625,minnow.2,0
NATZ.17,2017,0,minnow.2,0
NAUK.17,2017,2.038461539,minnow.2,0
NFEI.17,2017,0.6875,minnow.2,0
NOSK.17,2017,6.142857143,minnow.2,0
NPAS.17,2017,0,minnow.2,0
REFU.17,2017,0.083333334,minnow.2,3
SALA.17,2017,7.05,minnow.2,0
SFEI.17,2017,1.053571429,minnow.2,0
SHIN.17,2017,3.692307692,minnow.2,0
SODA.17,2017,1.115384615,minnow.2,0
SWAD.17,2017,0.452380953,minnow.2,0
TROC.17,2017,0.041666667,minnow.2,0
GUKT.18,2018,10.68427371,minnow.2,0
KAGK.18,2018,10.67457376,minnow.2,0
NATZ.18,2018,0,minnow.2,0
NOSK.18,2018,3.436157751,minnow.2,0
NPAS.18,2018,0,minnow.2,0
SUKK.18,2018,0.036029544,minnow.2,0
BAKE.19,2019,3.989592368,minnow.2,0
BLAQ.19,2019,1.066552901,minnow.2,0
CHUS.19,2019,5.971173644,minnow.2,0
